央视频道,#genre#
CCTV11,http://114.254.85.102:8888/rtp/239.3.1.152:8120,0.6
CCTV11,http://60.10.106.114:555/rtp/239.253.93.153:6321,0.58
CCTV12,http://175.173.198.22:9009/rtp/232.0.0.139:1234,1.83
CCTV12,http://175.173.198.22:9010/rtp/232.0.0.139:1234,1.28
CCTV12,http://175.173.198.22:9020/rtp/232.0.0.139:1234,1.23
CCTV12,http://221.219.79.161:4000/rtp/239.3.1.64:8124,1.01
CCTV12,http://114.246.96.72:4000/rtp/239.3.1.64:8124,1.01
CCTV12,http://123.121.2.167:4000/rtp/239.3.1.64:8124,1.0
CCTV12,http://111.196.129.152:20000/rtp/239.3.1.64:8124,0.83
CCTV12,http://114.252.238.87:8000/rtp/239.3.1.64:8124,0.79
CCTV12,http://123.118.229.243:9090/rtp/239.3.1.64:8124,0.78
CCTV12,http://123.118.159.0:8686/rtp/239.3.1.64:8124,0.73
CCTV12,http://60.2.190.206:4000/rtp/239.253.92.197:6062,0.69
CCTV12,http://115.171.216.209:4000/rtp/225.1.8.12:8124,0.65
CCTV12,http://175.173.198.22:9001/rtp/232.0.0.139:1234,0.63
CCTV12,http://222.128.86.76:8133/rtp/239.3.1.64:8124,0.62
CCTV12,http://123.113.187.204:8000/rtp/239.3.1.64:8124,0.61
CCTV12,http://123.113.189.90:8001/rtp/239.3.1.64:8124,0.61
CCTV12,http://114.243.110.0:4000/rtp/239.3.1.64:8124,0.61
CCTV12,http://222.129.139.229:8888/rtp/239.3.1.64:8124,0.61
CCTV12,http://175.146.122.104:8888/rtp/232.0.0.139:1234,0.6
CCTV12,http://114.254.85.102:8888/rtp/239.3.1.64:8124,0.6
CCTV12,http://60.10.106.114:555/rtp/239.253.92.197:6062,0.58
CCTV13,http://175.173.198.22:9009/rtp/232.0.0.15:1234,1.83
CCTV13,http://175.173.198.22:9010/rtp/232.0.0.15:1234,1.28
CCTV13,http://175.173.198.22:9020/rtp/232.0.0.15:1234,1.23
CCTV13,http://221.219.79.161:4000/rtp/239.3.1.124:8128,1.01
CCTV13,http://114.246.96.72:4000/rtp/239.3.1.124:8128,1.01
CCTV13,http://123.121.2.167:4000/rtp/239.3.1.124:8128,1.0
CCTV13,http://111.196.129.152:20000/rtp/239.3.1.124:8128,0.83
CCTV13,http://114.252.238.87:8000/rtp/239.3.1.124:8128,0.79
CCTV13,http://123.118.229.243:9090/rtp/239.3.1.124:8128,0.78
CCTV13,http://123.118.159.0:8686/rtp/239.3.1.124:8128,0.73
CCTV13,http://60.2.190.206:4000/rtp/239.253.92.13:8008,0.69
CCTV13,http://115.171.216.209:4000/rtp/225.1.8.168:8130,0.65
CCTV13,http://175.173.198.22:9001/rtp/232.0.0.15:1234,0.63
CCTV13,http://222.128.86.76:8133/rtp/239.3.1.124:8128,0.62
CCTV13,http://123.113.187.204:8000/rtp/239.3.1.124:8128,0.61
CCTV13,http://123.113.189.90:8001/rtp/239.3.1.124:8128,0.61
CCTV13,http://114.243.110.0:4000/rtp/239.3.1.124:8128,0.61
CCTV13,http://222.129.139.229:8888/rtp/239.3.1.124:8128,0.61
CCTV13,http://175.146.122.104:8888/rtp/232.0.0.15:1234,0.6
CCTV13,http://114.254.85.102:8888/rtp/239.3.1.124:8128,0.6
CCTV13,http://60.10.106.114:555/rtp/239.253.92.13:8008,0.58
CCTV14,http://175.173.198.22:9009/rtp/232.0.0.140:1234,1.83
CCTV14,http://175.173.198.22:9010/rtp/232.0.0.140:1234,1.28
CCTV14,http://175.173.198.22:9020/rtp/232.0.0.140:1234,1.23
CCTV14,http://221.219.79.161:4000/rtp/239.3.1.65:8132,1.01
CCTV14,http://114.246.96.72:4000/rtp/239.3.1.65:8132,1.01
CCTV14,http://123.121.2.167:4000/rtp/239.3.1.65:8132,1.0
CCTV14,http://111.196.129.152:20000/rtp/239.3.1.65:8132,0.83
CCTV14,http://114.252.238.87:8000/rtp/239.3.1.65:8132,0.79
CCTV14,http://123.118.229.243:9090/rtp/239.3.1.65:8132,0.78
CCTV14,http://123.118.159.0:8686/rtp/239.3.1.65:8132,0.73
CCTV14,http://60.2.190.206:4000/rtp/239.253.92.198:6063,0.69
CCTV14,http://115.171.216.209:4000/rtp/225.1.8.14:8132,0.65
CCTV14,http://175.173.198.22:9001/rtp/232.0.0.140:1234,0.63
CCTV14,http://222.128.86.76:8133/rtp/239.3.1.65:8132,0.62
CCTV14,http://123.113.187.204:8000/rtp/239.3.1.65:8132,0.61
CCTV14,http://123.113.189.90:8001/rtp/239.3.1.65:8132,0.61
CCTV14,http://114.243.110.0:4000/rtp/239.3.1.65:8132,0.61
CCTV14,http://222.129.139.229:8888/rtp/239.3.1.65:8132,0.61
CCTV14,http://175.146.122.104:8888/rtp/232.0.0.140:1234,0.6
CCTV14,http://114.254.85.102:8888/rtp/239.3.1.65:8132,0.6
CCTV14,http://60.10.106.114:555/rtp/239.253.92.198:6063,0.58
CCTV15,http://175.173.198.22:9009/rtp/232.0.0.179:1234,1.83
CCTV15,http://175.173.198.22:9010/rtp/232.0.0.179:1234,1.28
